qa_uuid,qasrl_id,tokens,verb,question,answer,answer_range,verb_idx
2008~!~D0815-B-ABCD~!~33~!~0~!~3~!~debated~!~0,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",debated,Who debated something?,the Senate,1:2,3
2008~!~D0815-B-ABCD~!~33~!~0~!~3~!~debated~!~1,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",debated,What did someone debate?,the issue of filibustering judicial nominations,4:9,3
2008~!~D0815-B-ABCD~!~33~!~0~!~7~!~filibustering~!~2,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",filibustering,Who filibustered something?,the Senate,1:2,7
2008~!~D0815-B-ABCD~!~33~!~0~!~7~!~filibustering~!~3,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",filibustering,What was being filibustered?,judicial nominations,8:9,7
2008~!~D0815-B-ABCD~!~33~!~0~!~17~!~kept~!~4,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",kept,When did someone keep doing something?,As the Senate debated the issue of filibustering judicial nominations,0:9,17
2008~!~D0815-B-ABCD~!~33~!~0~!~17~!~kept~!~5,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",kept,Who kept doing something?,a bipartisan group of centrist senators,11:16,17
2008~!~D0815-B-ABCD~!~33~!~0~!~17~!~kept~!~6,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",kept,What did someone keep  doing?,working on possible compromise solutions,18:22,17
2008~!~D0815-B-ABCD~!~33~!~0~!~18~!~working~!~7,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",working,Who was working on something?,a bipartisan group of centrist senators,11:16,18
2008~!~D0815-B-ABCD~!~33~!~0~!~18~!~working~!~8,2008~!~D0815-B-ABCD~!~33~!~0,"['As', 'the', 'Senate', 'debated', 'the', 'issue', 'of', 'filibustering', 'judicial', 'nominations', ',', 'a', 'bipartisan', 'group', 'of', 'centrist', 'senators', 'kept', 'working', 'on', 'possible', 'compromise', 'solutions', '.']",working,What was someone working on?,possible compromise solutions,20:22,18
2008~!~D0815-B-ABCD~!~33~!~1~!~1~!~continue~!~9,2008~!~D0815-B-ABCD~!~33~!~1,"['Debates', 'continue', 'in', 'an', 'effort', 'to', 'reach', 'a', 'compromise', 'on', 'Senate', 'procedures', 'for', 'judicial', 'nominees', '.']",continue,What continues?,Debates,0:0,1
2008~!~D0815-B-ABCD~!~33~!~1~!~1~!~continue~!~10,2008~!~D0815-B-ABCD~!~33~!~1,"['Debates', 'continue', 'in', 'an', 'effort', 'to', 'reach', 'a', 'compromise', 'on', 'Senate', 'procedures', 'for', 'judicial', 'nominees', '.']",continue,How does something continue?,in an effort to reach a compromise on Senate procedures for judicial nominees,2:14,1
2008~!~D0815-B-ABCD~!~33~!~1~!~6~!~reach~!~11,2008~!~D0815-B-ABCD~!~33~!~1,"['Debates', 'continue', 'in', 'an', 'effort', 'to', 'reach', 'a', 'compromise', 'on', 'Senate', 'procedures', 'for', 'judicial', 'nominees', '.']",reach,What is being reached?,a compromise,7:8,6
2010~!~D1007-B-ABEH~!~59~!~0~!~4~!~concerned~!~12,2010~!~D1007-B-ABEH~!~59~!~0,"['Neighboring', 'Macao', 'officials', 'were', 'concerned', 'but', 'reported', 'no', 'cases', '.']",concerned,Who was concerned?,Neighboring Macao officials,0:2,4
2010~!~D1007-B-ABEH~!~59~!~0~!~6~!~reported~!~13,2010~!~D1007-B-ABEH~!~59~!~0,"['Neighboring', 'Macao', 'officials', 'were', 'concerned', 'but', 'reported', 'no', 'cases', '.']",reported,Who reported something?,Neighboring Macao officials,0:2,6
2010~!~D1007-B-ABEH~!~59~!~0~!~6~!~reported~!~14,2010~!~D1007-B-ABEH~!~59~!~0,"['Neighboring', 'Macao', 'officials', 'were', 'concerned', 'but', 'reported', 'no', 'cases', '.']",reported,What did someone report?,no cases,7:8,6
2010~!~D1007-B-ABEH~!~59~!~1~!~4~!~prepared~!~15,2010~!~D1007-B-ABEH~!~59~!~1,"['Nevertheless', ',', 'Macao', 'is', 'prepared', 'for', 'a', 'possible', 'outbreak', '.']",prepared,What is prepared for something?,Macao,2:2,4
2010~!~D1007-B-ABEH~!~59~!~1~!~4~!~prepared~!~16,2010~!~D1007-B-ABEH~!~59~!~1,"['Nevertheless', ',', 'Macao', 'is', 'prepared', 'for', 'a', 'possible', 'outbreak', '.']",prepared,What is something prepared for?,a possible outbreak,6:8,4
2010~!~D1007-B-ABEH~!~71~!~0~!~5~!~suspended~!~17,2010~!~D1007-B-ABEH~!~71~!~0,"['The', 'Central', 'Chinese', 'government', 'temporarily', 'suspended', 'chicken', 'exports', '.']",suspended,Who suspended something?,The Central Chinese government,0:3,5
2010~!~D1007-B-ABEH~!~71~!~0~!~5~!~suspended~!~18,2010~!~D1007-B-ABEH~!~71~!~0,"['The', 'Central', 'Chinese', 'government', 'temporarily', 'suspended', 'chicken', 'exports', '.']",suspended,How did someone suspend something?,temporarily,4:4,5
2010~!~D1007-B-ABEH~!~71~!~0~!~5~!~suspended~!~19,2010~!~D1007-B-ABEH~!~71~!~0,"['The', 'Central', 'Chinese', 'government', 'temporarily', 'suspended', 'chicken', 'exports', '.']",suspended,What did someone suspend?,chicken exports,6:7,5
2010~!~D1007-B-ABEH~!~71~!~1~!~6~!~suspended~!~20,2010~!~D1007-B-ABEH~!~71~!~1,"['Chicken', 'exports', 'from', 'the', 'mainland', 'are', 'suspended', 'until', 'better', 'health', 'tests', 'are', 'established', '.']",suspended,What is suspended?,Chicken exports,0:1,6
2010~!~D1007-B-ABEH~!~71~!~1~!~6~!~suspended~!~21,2010~!~D1007-B-ABEH~!~71~!~1,"['Chicken', 'exports', 'from', 'the', 'mainland', 'are', 'suspended', 'until', 'better', 'health', 'tests', 'are', 'established', '.']",suspended,When is something suspended?,until better health tests are established,7:12,6
2010~!~D1007-B-ABEH~!~71~!~1~!~12~!~established~!~22,2010~!~D1007-B-ABEH~!~71~!~1,"['Chicken', 'exports', 'from', 'the', 'mainland', 'are', 'suspended', 'until', 'better', 'health', 'tests', 'are', 'established', '.']",established,What is established?,better health tests,8:10,12
2010~!~D1007-B-ABEH~!~72~!~0~!~12~!~confirmed~!~23,2010~!~D1007-B-ABEH~!~72~!~0,"['A', 'joint', 'Hong', 'Kong', ',', 'U.S.', ',', 'WHO', 'examination', 'of', 'the', 'problem', 'confirmed', 'that', 'the', 'main', 'mode', 'of', 'H5N1', 'virus', 'transmission', 'was', 'bird', '-', 'to', '-', 'human', '.']",confirmed,What confirmed something?,"A joint Hong Kong , U.S. , WHO examination of the problem",0:11,12
2010~!~D1007-B-ABEH~!~72~!~0~!~12~!~confirmed~!~24,2010~!~D1007-B-ABEH~!~72~!~0,"['A', 'joint', 'Hong', 'Kong', ',', 'U.S.', ',', 'WHO', 'examination', 'of', 'the', 'problem', 'confirmed', 'that', 'the', 'main', 'mode', 'of', 'H5N1', 'virus', 'transmission', 'was', 'bird', '-', 'to', '-', 'human', '.']",confirmed,What did something confirme?,that the main mode of H5N1 virus transmission was bird - to - human,13:26,12
2010~!~D1007-B-ABEH~!~74~!~1~!~2~!~indicate~!~25,2010~!~D1007-B-ABEH~!~74~!~1,"['Preliminary', 'tests', 'indicate', 'that', 'the', 'virus', 'is', 'transmitted', 'from', 'bird', 'to', 'human', '.']",indicate,What indicates something?,Preliminary tests,0:1,2
2010~!~D1007-B-ABEH~!~74~!~1~!~2~!~indicate~!~26,2010~!~D1007-B-ABEH~!~74~!~1,"['Preliminary', 'tests', 'indicate', 'that', 'the', 'virus', 'is', 'transmitted', 'from', 'bird', 'to', 'human', '.']",indicate,What does something indicate?,that the virus is transmitted from bird to human,3:11,2
2010~!~D1007-B-ABEH~!~74~!~1~!~7~!~transmitted~!~27,2010~!~D1007-B-ABEH~!~74~!~1,"['Preliminary', 'tests', 'indicate', 'that', 'the', 'virus', 'is', 'transmitted', 'from', 'bird', 'to', 'human', '.']",transmitted,What is transmitted?,the virus,4:5,7
2010~!~D1007-B-ABEH~!~74~!~1~!~7~!~transmitted~!~28,2010~!~D1007-B-ABEH~!~74~!~1,"['Preliminary', 'tests', 'indicate', 'that', 'the', 'virus', 'is', 'transmitted', 'from', 'bird', 'to', 'human', '.']",transmitted,Where is something transmitted?,from bird to human,8:11,7
2010~!~D1007-B-ABEH~!~74~!~1~!~7~!~transmitted~!~29,2010~!~D1007-B-ABEH~!~74~!~1,"['Preliminary', 'tests', 'indicate', 'that', 'the', 'virus', 'is', 'transmitted', 'from', 'bird', 'to', 'human', '.']",transmitted,What is something transmitted from?,bird to human,9:11,7
2010~!~D1007-B-ABEH~!~64~!~0~!~10~!~increased~!~30,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",increased,Who increased something?,"Authorities in Hong Kong , Macao , and mainland China",0:9,10
2010~!~D1007-B-ABEH~!~64~!~0~!~10~!~increased~!~31,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",increased,What did someone increase?,surveillance and testing,11:13,10
2010~!~D1007-B-ABEH~!~64~!~0~!~10~!~increased~!~32,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",increased,Where did someone increase something?,in the poultry industry,14:17,10
2010~!~D1007-B-ABEH~!~64~!~0~!~10~!~increased~!~33,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",increased,Why did someone increase something?,to determine presence of the bird flu virus,18:25,10
2010~!~D1007-B-ABEH~!~64~!~0~!~19~!~determine~!~34,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",determine,Who determined something?,"Authorities in Hong Kong , Macao , and mainland China",0:9,19
2010~!~D1007-B-ABEH~!~64~!~0~!~19~!~determine~!~35,2010~!~D1007-B-ABEH~!~64~!~0,"['Authorities', 'in', 'Hong', 'Kong', ',', 'Macao', ',', 'and', 'mainland', 'China', 'increased', 'surveillance', 'and', 'testing', 'in', 'the', 'poultry', 'industry', 'to', 'determine', 'presence', 'of', 'the', 'bird', 'flu', 'virus', '.']",determine,What is being determined?,presence of the bird flu virus,20:25,19
