Unnamed: 0,qasrl_id,sentence,tokens,Unnamed: 0.1,len
0.0,TAC2008~!~D0823-B-ACDH~!~25~!~SCU,Repeat election held December 26,Repeat election held December 26,,
1.0,TAC2011~!~D1124-B-CEFG~!~21,"Engineers now call for up to 1,000 balls, more than the original 374.","Engineers now call for up to 1,000 balls , more than the original 374 .",,
2.0,TAC2008~!~D0834-A~!~XIN_ENG_20050923.0300~!~297,"The organization and the US National Center for Science Education issued a statement, supporting students' parents to sue the Dover school district, Pennsylvania, against its decision to include "" intelligent design,"" which says life has a God-like creator, in the curriculum of ninth-grade biology classes.","The organization and the US National Center for Science Education issued a statement , supporting students ' parents to sue the Dover school district , Pennsylvania , against its decision to include "" intelligent design , "" which says life has a God - like creator , in the curriculum of ninth - grade biology classes .",,
3.0,DUC2007~!~D0724-ABCF~!~60,The number of obese children doubled in the same time.,The number of obese children doubled in the same time .,,
4.0,DUC2007-update~!~D0740I-C~!~NYT20000302.0383~!~148,"The first two, Bertrand Piccard of Switzerland and Brian Jones of Britain, completed a 20-day trip together last March, ending in the Egyptian desert.","The first two , Bertrand Piccard of Switzerland and Brian Jones of Britain , completed a 20-day trip together last March , ending in the Egyptian desert .",,
5.0,TAC2011~!~D1104-B-ABDH~!~18,Federal and NY state investigators discovered aminopterina rodenticide in the pet food blamed for killing at least 14 animals in the U.S.  ,Federal and NY state investigators discovered aminopterina rodenticide in the pet food blamed for killing at least 14 animals in the U.S.  ,,
6.0,DUC2005~!~114.D435.M.250.F.1~!~73,The fertility rate in Iran has dropped significantly due to a government program for population control.,The fertility rate in Iran has dropped significantly due to a government program for population control .,,
7.0,TAC2011~!~D1141-A-DFGH~!~8,Twenty affected villages in Gansu Province will be vacated and replaced with newly-planted grass.  ,Twenty affected villages in Gansu Province will be vacated and replaced with newly - planted grass .  ,,
8.0,TAC2011~!~D1107-B-BCEF~!~26,They have taken steps to crack down on food safety violators including the death sentence of one high ranking watchdog official for corruption.,They have taken steps to crack down on food safety violators including the death sentence of one high ranking watchdog official for corruption .,,
9.0,TAC2008~!~D0822-B~!~APW_ENG_20050625.0318~!~16,"An official Syrian newspaper on Saturday dismissed as ""lies"" American allegations that Syria still maintained troops or intelligence officials in Lebanon following their full withdrawal in April.","An official Syrian newspaper on Saturday dismissed as "" lies "" American allegations that Syria still maintained troops or intelligence officials in Lebanon following their full withdrawal in April .",,
10.0,DUC2006~!~D0614~!~19,"Quebeckers voted on two independence referendums, unsuccessfully in 1980 and nearly victoriously in 1995.","Quebeckers voted on two independence referendums , unsuccessfully in 1980 and nearly victoriously in 1995 .",,
11.0,DUC2005~!~d400b2~!~FT931-6077~!~283,"Down in the Oriente, Ecuador's Amazon rainforest, US oilmen and local indians have decided to put aside their differences and enter into a controversial partnership aimed at exploiting the environment without destroying it.","Down in the Oriente , Ecuador 's Amazon rainforest , US oilmen and local indians have decided to put aside their differences and enter into a controversial partnership aimed at exploiting the environment without destroying it .",,
12.0,DUC2007~!~D0718~!~NYT19990611.0297~!~301,"They opened the latest in their 50-50 joint venture Starbucks Coffee stores and Johnson said there will be more in Seattle, along with one of Johnson's multiplex movie theaters.","They opened the latest in their 50 - 50 joint venture Starbucks Coffee stores and Johnson said there will be more in Seattle , along with one of Johnson 's multiplex movie theaters .",,
13.0,DUC2007~!~D0720-ABCE~!~45,"Israel began building more settlements in the occupied territories, delayed troop redeployments in the West Bank, and tightened control over Jerusalem, These policies, together with Hamas terrorist attacks, derailed the peace process and stalemated peace talks.","Israel began building more settlements in the occupied territories , delayed troop redeployments in the West Bank , and tightened control over Jerusalem , These policies , together with Hamas terrorist attacks , derailed the peace process and stalemated peace talks .",,
14.0,DUC2006~!~D0616~!~8,"By 1999, under Putin, Russian air raids continued escalating along the Chechen border to combat aggression.","By 1999 , under Putin , Russian air raids continued escalating along the Chechen border to combat aggression .",,
15.0,DUC2005~!~d400b~!~FT922-5621~!~180,"He also complains that multilateral institutions are forcing Brazil to support projects in the Amazon of which he is 'very sceptical,' such as extractive reserves - areas reserved for such activities as the gathering of Brazil nuts and rubber-tapping which do not harm the forest but which many analysts believe are condemning people to poverty.","He also complains that multilateral institutions are forcing Brazil to support projects in the Amazon of which he is ' very sceptical , ' such as extractive reserves - areas reserved for such activities as the gathering of Brazil nuts and rubber - tapping which do not harm the forest but which many analysts believe are condemning people to poverty .",,
16.0,DUC2006~!~D0643g~!~NYT20000925.0218~!~265,"For many parts of the Americas and Asia, the occasional warming and cooling cycles in the tropical Pacific Ocean known as El Nino and La Nina are unwelcome visitors - barging in, usually with little warning, then staying for months or sometimes a year or two, bringing all kinds of baggage in the form of distorted patterns of storms and droughts, heat and cold.","For many parts of the Americas and Asia , the occasional warming and cooling cycles in the tropical Pacific Ocean known as El Nino and La Nina are unwelcome visitors - barging in , usually with little warning , then staying for months or sometimes a year or two , bringing all kinds of baggage in the form of distorted patterns of storms and droughts , heat and cold .",,
17.0,DUC2005~!~d324e~!~FT911-3135~!~1,"Mr Guido di Tella, Argentine foreign minister, met representatives of British companies and financial institutions, including Baring Brothers, the merchant bank, and ICI, in London yesterday, to discuss the privatisation programme and encourage UK investment in Argentina.","Mr Guido di Tella , Argentine foreign minister , met representatives of British companies and financial institutions , including Baring Brothers , the merchant bank , and ICI , in London yesterday , to discuss the privatisation programme and encourage UK investment in Argentina .",,
18.0,TAC2008~!~D0804-B~!~AFP_ENG_20050916.0520~!~233,The Humane Society appealed for Louisiana state authorities and federal officials to intervene to ensure that any animals abandoned as residents fled New Orleans more than two weeks ago are rounded up and sent to rescue centres.,The Humane Society appealed for Louisiana state authorities and federal officials to intervene to ensure that any animals abandoned as residents fled New Orleans more than two weeks ago are rounded up and sent to rescue centres .,,
19.0,DUC2005~!~d400b2~!~LA121489-0128~!~1000,"""The government is giving incentives to get people roaring off into the jungle to avoid having to solve the problems in the sierra (mountains), where they originate,"" he said.",""" The government is giving incentives to get people roaring off into the jungle to avoid having to solve the problems in the sierra ( mountains ) , where they originate , "" he said .",,
20.0,DUC2005~!~114.D435.M.250.F.1~!~39,"Catholic countries with large populations and high birth rates such as Brazil, Mexico, and the Philippines are beginning to see slowing in birth rates.","Catholic countries with large populations and high birth rates such as Brazil , Mexico , and the Philippines are beginning to see slowing in birth rates .",,
21.0,TAC2008~!~D0801-A~!~NYT_ENG_20050427.0044~!~167,"Airbus also stresses the plane's fuel efficiency, claiming that a customer driving a compact car to the airport will burn more fuel per mile than the A380 requires to move one passenger 100 miles.A team of Airbus specialists has visited major airports over the p ast few years to determine how much work will be necessary to allow the A380 to use runways and terminals.","Airbus also stresses the plane 's fuel efficiency , claiming that a customer driving a compact car to the airport will burn more fuel per mile than the A380 requires to move one passenger 100 miles . A team of Airbus specialists has visited major airports over the p ast few years to determine how much work will be necessary to allow the A380 to use runways and terminals .",,
22.0,TAC2008~!~D0803-B~!~XIN_ENG_20051116.0066~!~58,"In recent years, the Chinese government has issued a series of regulations and measures to improve coal mine safety.","In recent years , the Chinese government has issued a series of regulations and measures to improve coal mine safety .",,
23.0,TAC2008~!~D0816-A-ACEH~!~22,"Pyongyang insists on having nuclear power for peaceful purposes, something opposed by the U.S. South Korea has promised massive aid to North Korea, including electricity, rice, and other necessities, if an agreement can be reached within the six-party framework.","Pyongyang insists on having nuclear power for peaceful purposes , something opposed by the U.S. South Korea has promised massive aid to North Korea , including electricity , rice , and other necessities , if an agreement can be reached within the six - party framework .",,
24.0,DUC2006~!~D0601~!~69,Several reservations near population centers have successfully established casinos that provide income to alleviate extreme poverty.,Several reservations near population centers have successfully established casinos that provide income to alleviate extreme poverty .,,
25.0,TAC2008~!~D0832-A-BCEF~!~23,"Wade purchased Cunningham's home in San Diego for over  $1.6M and a few months later sold it for a $700,000 loss suggesting that Cunningham was paid an inflated price.","Wade purchased Cunningham 's home in San Diego for over   $ 1.6 M and a few months later sold it for a $ 700,000 loss suggesting that Cunningham was paid an inflated price .",,
26.0,DUC2007~!~D0743-BHIJ~!~67,"A year later 150,000 were in prefab homes and only 26,000 still in tent cities.","A year later 150,000 were in prefab homes and only 26,000 still in tent cities .",,
27.0,DUC2005~!~d426a2~!~LA070389-0068~!~786,"At demonstrations, where kids and other dog lovers traditionally cheer the big, burly specimens used to bite and tackle suspects, Popeye now captures the spotlight.","At demonstrations , where kids and other dog lovers traditionally cheer the big , burly specimens used to bite and tackle suspects , Popeye now captures the spotlight .",,
28.0,DUC2007~!~D0727-AFGH~!~46,"In July 1999, former House Speaker Newt Gingrich filed for divorce from his second wife, Marianne, after eighteen years of marriage amid allegations he was having an affair with a congressional aide, Callista Bisek.","In July 1999 , former House Speaker Newt Gingrich filed for divorce from his second wife , Marianne , after eighteen years of marriage amid allegations he was having an affair with a congressional aide , Callista Bisek .",,
29.0,DUC2005~!~118.D671.M.250.G.13~!~93,"The Salvation Army helps victims of natural disasters with emergency supplies of water, blankets, and cots.","The Salvation Army helps victims of natural disasters with emergency supplies of water , blankets , and cots .",,
30.0,DUC2005~!~d683j~!~FT922-3746~!~135,THE newly-elected leaders of the Czech and Slovak republics have agreed to try to form quickly an interim federal government despite deep differences over the future federal state revealed at their first meeting which ended early yesterday.,THE newly - elected leaders of the Czech and Slovak republics have agreed to try to form quickly an interim federal government despite deep differences over the future federal state revealed at their first meeting which ended early yesterday .,,
31.0,DUC2006~!~D0647~!~42,"Elian's Cuban grandmothers visited him in Florida in January and, in April, his father arrived in Washington.","Elian 's Cuban grandmothers visited him in Florida in January and , in April , his father arrived in Washington .",,
32.0,DUC2006~!~D0616g~!~XIE19991103.0103~!~245,"""The liberation of Chechnya is the goal set for the federal armed forces.",""" The liberation of Chechnya is the goal set for the federal armed forces .",,
